Long,Lat,ogc_fid,ogc_fid0,objectid,post_id,name,descriptio,cat1,cat2,cat3,addrln1,addrln2,city,state,zip,hours,phones,url,email,info1,info2,link,org_name,source,ext_id,use_type,dis_status,latitude,longitude,date_updat,point_x,point_y,objectid_2,city_2
-118.53586380937095,34.22167096231965,26.0,26.0,40281370.0,717.0,Tarzana Treatment Clinic - West Valley,"Primary Care<br />Language(s): English, Farsi, Interpreter Services Available, Russian, Spanish",Health and Mental Health,Health Centers, ,8330 Reseda Blvd., ,Northridge,CA,91324,Monday - Friday: 8:00AM - 4:30PM,Service/Intake (818) 534-1820,www.tarzanatc.org, ,"Language(s): English, Farsi, Interpreter Services Available, Russian, Spanish", ,http://egis3.lacounty.gov/lms/?p=717,Community Partners,LA County Department of Health Services, ,publish, ,34.22168,-118.53588,2011-10-11 00:00:00,6399675.19987,1903485.24219,1,IN
-118.25657758753822,34.08447795589246,29.0,29.0,40283686.0,70223.0,Gateways Hospital And Mental Health Center,The hospital provides mental health services for adolescents age 13 to 17 and adults age 18 and older who live in Los Angeles County.,Health and Mental Health,Health Centers, ,1891 Effie St, ,Los Angeles,CA,90026,"Monday through Sunday, 24 hours per day.","FAX (323) 666-1417,  Service/Intake (323) 644-2000,  FAX (323) 953-6588",www.gatewayshospital.org, , , ,http://egis3.lacounty.gov/lms/?p=70223, ,211, ,publish, ,34.08449,-118.25659,2010-11-01 00:00:00,6483975.89577,1853225.72788,1,IN
-118.2566674190666,34.00298614873849,32.0,32.0,40281632.0,64077.0,South Central Family Health Center,"Primary Care

<strong> </strong><br />Language(s): English, Interpreter Services Available, Spanish",Health and Mental Health,Health Centers, ,4425 South Central Avenue, ,Los Angeles,CA,90011,"Monday - Friday: 7:00AM - 7:00PM
Saturday: 7:00AM - 6:00PM


",(323) 908-4200,http://www.scfhc.org/services.php, ,"Language(s): English, Interpreter Services Available, Spanish,", ,http://egis3.lacounty.gov/lms/?p=64077,Community Partners,LA County Department of Health Services, ,publish, ,34.00299,-118.25668,2011-10-14 00:00:00,6483873.82117,1823568.24356,1,IN
-118.2645007283441,34.05376768848865,35.0,35.0,40222931.0,1296.0,Good Samaritan Hospital - Gamma Knife Center,The Institute provides hospital services for people who have brain tumors and nerve tissue diseases or abnormalities.,Health and Mental Health,Health Centers, ,637 Lucas Ave, ,Los Angeles,CA,90017,"Monday through Friday, 9:00am to 5:00pm.","Service/Intake and Administration (213) 977-2265, Main Number Service/Intake and Administration (213) 977-2977, 800-GS CARES - Physician Referrals Information Only (800) 472-2737, Gamma Knife Information Service/Intake and Administration (213) 977-2362",www.goodsam.org, , , ,http://egis3.lacounty.gov/lms/?p=1296,www.goodsam.org,211, ,publish, ,34.05377,-118.26451,2013-06-01 00:00:00,6481547.59354,1842054.3493,1,IN
-118.28722810503234,34.099304491147606,37.0,37.0,40281381.0,778.0,"Asian Pacific Health Care Venture, Inc.",Primary Care<br />Language(s):  Cambodian,Health and Mental Health,Health Centers, ,"1530 Hillhurst Ave., Ste. 200", ,Los Angeles,CA,90027,"Monday: 9:00AM - 7:00PM
Tuesday - Thursday: 8:00AM - 7:00PM
Friday: 8:00AM - 5:00PM
Saturday: 8:00AM - 4:00PM

",(323) 644-3880,www.aphcv.org, ,Language(s):  Cambodian, ,http://egis3.lacounty.gov/lms/?p=778,Community Partners,LA County Department of Health Services, ,publish, ,34.09931,-118.28724,2011-10-11 00:00:00,6474711.57736,1858646.49853,1,IN
-118.32152578258005,34.10175177282225,38.0,38.0,40281638.0,64090.0,The Saban Free Clinic - Hollywood,"Primary Care, Specialty Care<br />Language(s): Armenian, English, Interpreter Services Available, Spanish",Health and Mental Health,Health Centers, ,6043 Hollywood Boulevard, ,Los Angeles,ca,90028,"Monday, Wednesday, & Friday: 8:30AM - 5:00PM
Tuesday, & Thursday: 8:30AM - 7:00PM


",(323) 653-1990, , ,"Language(s): Armenian, English, Interpreter Services Available, Spanish,", ,http://egis3.lacounty.gov/lms/?p=64090,Community Partners,LA County Department of Health Services, ,publish, ,34.10176,-118.32154,2011-10-14 00:00:00,6464330.91505,1859568.01703,1,IN
-118.31380925428941,34.08366699673272,39.0,39.0,40281640.0,64092.0,The Saban Free Clinic - Hollywood/Wilshire,"Primary Care
Dental Care

<strong> </strong><br />Language(s): Interpreter Services Available",Health and Mental Health,Health Centers, ,5205 Melrose Avenue, ,Los Angeles,ca,90038,"Monday - Friday: 8:30AM - 5:00PM 
DENTAL HOURS 2nd Floor - Monday - Thursday: 3:00PM - 9:00PM 
Saturday: 8:30AM - 5:00PM   


",(323) 653-1990,http://www.thesabanfreeclinic.org/, ,"Language(s): Interpreter Services Available,", ,http://egis3.lacounty.gov/lms/?p=64092,Community Partners,LA County Department of Health Services, ,publish, ,34.08367,-118.31382,2011-10-14 00:00:00,6466646.33463,1852979.52201,1,IN
-118.33888123386919,34.00890639436848,41.0,41.0,40281645.0,64096.0,Watts Healthcare Corporation - Crenshaw Community Health Center,"Primary Care

<strong> </strong><br />Language(s): Arabic, English, French, Hindi, Interpreter Services Available, Spanish",Health and Mental Health,Health Centers, ,"3756 Santa Rosalia Drive, Suite 400", ,Los Angeles,ca,90008,"Monday - Friday: 8:30AM - 5:30PM


","
 (323) 357-6680  
",http://wattshealth.org/contactus.aspx, ,"Language(s): Arabic, English, French, Hindi, Interpreter Services Available, Spanish,", ,http://egis3.lacounty.gov/lms/?p=64096,Community Partners,LA County Department of Health Services, ,publish, ,34.00891,-118.33889,2011-10-14 00:00:00,6458963.06785,1825796.71384,1,IN
-118.58733727515101,34.20125667290284,42.0,42.0,40221913.0,603.0,Valley Village - Adult Day Health Care Center,"The agency provides adult day health care, out of home care, and services for people with developmental disabilities for people age 18 and older who live in the San Fernando Valley.",Health and Mental Health,Health Centers, ,20835 Sherman Way, ,Winnetka,CA,91306,"Monday through Friday, 8:00am to 1:00pm.","FAX (818) 587-3618,  Service/Intake (818) 587-3600",www.ValleyVillage.org, , , ,http://egis3.lacounty.gov/lms/?p=603,www.ValleyVillage.org,211, ,publish, ,34.20126,-118.58735,2013-06-01 00:00:00,6384072.46271,1896140.82381,1,IN
-118.29006678133018,34.08451515566761,48.0,48.0,40222947.0,1326.0,Blind Childrens Center Inc,"The organization provides educaiton services and a program of diversified services to meet the special needs of children who are blind or partially sighted, their parents and their siblings.",Health and Mental Health,Health Centers, ,4120 Marathon St., ,Los Angeles,CA,90029,"Monday through Friday, 8:00am to 4:00pm.",Service/Intake (323) 664-2153,www.blindchildrenscenter.org, , , ,http://egis3.lacounty.gov/lms/?p=1326,www.blindchildrenscenter.org,211, ,publish, ,34.08452,-118.29008,2013-06-01 00:00:00,6473834.98725,1853265.58607,1,IN
-118.2685521302755,34.06568253998128,49.0,49.0,40281397.0,813.0,Bay Area Addiction Research And Treatment (BAART) Community Healthcare - Beverly,"Primary Care<br />Language(s): Armenian, English, Farsi, Interpreter Services Available, Korean, Russian, Spanish,",Health and Mental Health,Health Centers, ,1926 W. Beverly Blvd., ,Los Angeles,CA,90057,Monday - Friday: 5:30AM - 1:30PM,(213) 607-2010,http://www.baarthealthcare.org/, ,"Language(s): Armenian, English, Farsi, Interpreter Services Available, Korean, Russian, Spanish, Tagalog", ,http://egis3.lacounty.gov/lms/?p=813,Community Partners,LA County Department of Health Services, ,publish, ,34.06569,-118.26856,2011-10-11 00:00:00,6480333.41093,1846393.8029,1,IN
-118.26532717840553,34.03643197539829,52.0,52.0,40281656.0,64049.0,Northeast Community Clinic - CFC,"Primary Care<br />Language(s): English, Interpreter Services Available, Spanish",Health and Mental Health,Health Centers, ,"1414 South Grand Avenue, #200", ,Los Angeles,CA,90015,"Monday - Friday: 8:00AM - 5:00PM
Saturday: 8:00AM - 5:00PM

","(213) 743-9000  
", , ,"Language(s): English, Interpreter Services Available, Spanish,", ,http://egis3.lacounty.gov/lms/?p=64049,Community Partners,LA County Department of Health Services, ,publish, ,34.03643,-118.26534,2011-10-14 00:00:00,6481281.13312,1835745.88718,1,IN
-118.37336755762662,34.07621176060929,53.0,53.0,40284227.0,70429.0,"Saban Free Clinic, The","The clinic provides counseling services, dental services, health services, HIV/AIDS, and youth services for people of all ages in Los Angeles County.",Health and Mental Health,Health Centers, ,8405 Beverly Blvd, ,Los Angeles,CA,90048,"Monday through Thursday, 8:30am to 8:00pm; Friday, 12:00pm to 4:30pm.","Case Management/Social Services Service/Intake (323) 337-1755, Appointments Service/Intake (323) 653-1990,  Administrative (323) 653-8622, Medi-Cal, HMO and Patients under 21 Service/Intake (323) 337-1775",www.thesabanfreeclinic.org, , , ,http://egis3.lacounty.gov/lms/?p=70429, ,211, ,publish, ,34.07622,-118.37338,2010-11-01 00:00:00,6448602.23391,1850327.04536,1,IN
-118.2774005358241,34.00426704189822,56.0,56.0,40281661.0,64051.0,Northeast Community Clinic- Clinica Para Las Mujeres,"Primary Care<br />Language(s): English, Interpreter Services Available, Spanish",Health and Mental Health,Health Centers, ,"231 West Vernon Avenue, Suite 203", ,Los Angeles,CA,90037,"Monday - Friday: 8:00AM - 5:00PM

",(323) 231-8814, , ,"Language(s): English, Interpreter Services Available, Spanish", ,http://egis3.lacounty.gov/lms/?p=64051,Community Partners,LA County Department of Health Services, ,publish, ,34.00427,-118.27741,2011-10-14 00:00:00,6477590.48728,1824050.68321,1,IN
-118.41356716659094,34.275735998150346,57.0,57.0,40287830.0,1105.0,North East Valley Multipurpose Center,The center provides emergency food and services for older adults age 55 and older who live in the northeast San Fernando Valley.,Health and Mental Health,Health Centers, ,11300 Glenoaks Blvd., ,Pacoima,CA,91331,"Monday through Friday, 8:00am to 4:00pm.","Service/Intake and Administration (818) 834-6100,  FAX (818) 834-6108", , , , ,http://egis3.lacounty.gov/lms/?p=1105,LA City Department Recreation and Parks,LA City Recreation and Parks, ,publish, ,34.27574,-118.41358,2014-05-21 00:00:00,6436727.23076,1922985.06441,1,IN
-118.35984791260054,34.057674991760514,66.0,66.0,40221940.0,624.0,Center For Geriatric Health,The agency provides health services for older adults age 65 and older who live in the Los Angeles County area.,Health and Mental Health,Health Centers, ,5901 W. Olympic Blvd., ,Los Angeles,CA,90036,"Monday through Thursday, 8:30am to 5:00pm.",Service/Intake (323) 932-5333,http://www.olympiamc.com/CenterForGeriatricHealth/, , , ,http://egis3.lacounty.gov/lms/?p=624,http://www.olympiamc.com/CenterForGeriatricHealth/,211, ,publish, ,34.05768,-118.35986,2013-06-01 00:00:00,6452672.28843,1843567.09169,1,IN
-118.44958062633127,34.20688075339956,67.0,67.0,40281674.0,64045.0,MidValley Comprehensive Health Center,<br />Language(s): Interpreter Services Available,Health and Mental Health,Health Centers, ,7515 Van Nuys Blvd, ,Van Nuys,CA,91405,"Mon.-Thurs 8:00am -8:30pm Fri. 8:00-4:30

",Main Phone Number  818-947-0230, , ,"Language(s): Interpreter Services Available,", ,http://egis3.lacounty.gov/lms/?p=64045,Comprehensive Health Center,LA County Department of Health Services, ,publish, ,34.20688,-118.44959,2011-10-14 00:00:00,6425736.21895,1897972.98615,1,IN
-118.27382524099328,34.01110311008686,70.0,70.0,40222716.0,1109.0,South Central Family Health Center - S. Mark Taper Foundation Health Clinic At The Accelerated School,"The center provides health education, health services, and volunteer opportunities for low-income people of all ages in South Los Angeles.",Health and Mental Health,Health Centers, ,4000 S. Main St., ,Los Angeles,CA,90037,"Monday and Thursday, 1:00pm to 5:00pm; Tuesday, 8:00am to 5:00pm; Wednesday, 8:00am to 12:00pm.","FAX (323) 232-2673,  Service/Intake (323) 908-4242, Appointments Service/Intake (323) 908-4200",www.scfhc.org, , , ,http://egis3.lacounty.gov/lms/?p=1109,www.scfhc.org,211, ,publish, ,34.01111,-118.27384,2013-06-01 00:00:00,6478680.18622,1826535.464,1,IN
-118.25078345395562,34.05268105404754,74.0,74.0,40281682.0,64082.0,the Children's Clinic - Cesar Chavez,"Primary Care<br />Language(s): Cambodian, Chinese, English, Interpreter Services Available, Spanish",Health and Mental Health,Health Centers, ,730 West 3rd Street, ,Long Beach,CA,90802,"Monday - Friday: 8:00AM - 5:00PM

",(562) 435-5040,http://thechildrensclinic.org/, ,"Language(s): Cambodian, Chinese, English, Interpreter Services Available, Spanish,", ,http://egis3.lacounty.gov/lms/?p=64082,Community Partners,LA County Department of Health Services, ,publish, ,34.05269,-118.2508,2011-10-14 00:00:00,6485701.23123,1841648.79762,1,IN
-118.24180928426723,34.04686062426915,75.0,75.0,40222721.0,1111.0,Aliva Health And Wellness Center,The center provides health services for adults in East Los Angeles and surrounding communities.,Health and Mental Health,Health Centers, ,420 E 3Rd St, ,Los Angeles,CA,90013,"Monday through Friday, 9:00am to 6:00pm, evenings with prior approval; Saturday, 9:00am to 1:00pm.","Service/Intake (866) 755-7241,  Service/Intake (213) 625-0717",www.aliva4u.org, , , ,http://egis3.lacounty.gov/lms/?p=1111,www.aliva4u.org,211, ,publish, ,34.04686,-118.24182,2013-06-01 00:00:00,6488415.9594,1839523.16703,1,IN
-118.48714817151311,34.15703105262918,76.0,76.0,40285797.0,71183.0,Encino Hospital Medical Center,"The medical center provides health education, hospital services and volunteer opportunities for people who live in Los Angeles County.",Health and Mental Health,Health Centers, ,16237 Ventura Blvd, ,Encino,CA,91436,"Monday through Friday, 8:30am to 5:00pm.  Emergency hours are Monday through Sunday, 24 hours per day.","Appointments/Referrals/General Questions Service/Intake (818) 995-5000, Volunteer Program Service/Intake (818) 995-5270,  FAX (818) 907-8630,  Administrative (818) 995-5002",www.encinomed.com, , , ,http://egis3.lacounty.gov/lms/?p=71183, ,211, ,publish, ,34.15704,-118.48716,2010-11-01 00:00:00,6414289.99446,1879887.07023,1,IN
-118.26502175120888,33.99806346677534,78.0,78.0,40281429.0,950.0,Bay Area Addiction Research And Treatment (BAART) - Southeast,"Primary Care<br />Language(s): Farsi, Interpreter Services Available, Spanish, Tagalog, English",Health and Mental Health,Health Centers, ,4920 S. Avalon Blvd., ,Los Angeles,CA,90011,"Monday - Friday: 5:30AM - 1:30PM

",Service/Intake (323) 235-5035,http://www.baarthealthcare.org/, ,"Language(s): Farsi, Interpreter Services Available, Spanish, Tagalog, English", ,http://egis3.lacounty.gov/lms/?p=950,Community Partners,LA County Department of Health Services, ,publish, ,33.99807,-118.26503,2011-10-12 00:00:00,6481336.54278,1821783.29601,1,IN
-118.4489518056324,34.207267070122796,81.0,81.0,40222727.0,1114.0,Los Angeles County Department Of Health Services - Mid-Valley Comprehensive Health Center,The center provides health services for people in Los Angeles County targeted to the San Fernando and Santa Clarita Valleys.,Health and Mental Health,Health Centers, ,7515 Van Nuys Blvd., ,Van Nuys,CA,91405, ,"Appointments Service/Intake (818) 947-0230,  Administrative (818) 947-4026, Dental Services Service/Intake (818) 947-4028, Managed Care/Member Service - Complaints Service/Intake (818) 947-4033, HWLA Applications Service/Intake (818) 947-4617",www.ladhs.org, , , ,http://egis3.lacounty.gov/lms/?p=1114,www.ladhs.org,211, ,publish, ,34.20727,-118.44896,2013-06-01 00:00:00,6425926.72808,1898114.06428,1,IN
-118.26507565012598,34.03529300888453,82.0,82.0,40281435.0,1119.0,Eisner Pediatric And Family Medical Center,"Primary Care

Dental Care

&nbsp;<br />Language(s): Interpreter Services Available",Health and Mental Health,Health Centers, ,1530 S. Olive St., ,Los Angeles,CA,90015,"Monday & Wednesday: 8:00AM - 7:00PM  Tuesday, Thursday, & Friday: 8:00AM - 4:30PM  Saturday: 8:00AM - 4:30PM


","FAX (213) 746-9379, Child Care, Mental Health Service/Intake (213) 746-5582, Medical/Dental - Adults, Children Service/Intake (213) 747-5542,  Administration (213) 746-1037
",www.eisnerpedcenter.org, ,Language(s): Interpreter Services Available, ,http://egis3.lacounty.gov/lms/?p=1119,Community Partners,LA County Department of Health Services, ,publish, ,34.03529,-118.26509,2011-10-12 00:00:00,6481355.62903,1835330.57666,1,IN
-118.60038979622928,34.199428951697065,87.0,87.0,40222480.0,981.0,Northeast Valley Health Corporation - Lac - Canoga Park Health Center,"The agency provides health services primarily for people who live in the San Fernando Valley including people who are low income, working poor, uninsured, and medically underserved.",Health and Mental Health,Health Centers, ,7107 Remmet Ave., ,Canoga Park,CA,91303, ,"Health Appointment Center Service/Intake (818) 270-9777, Health Service/Intake (818) 340-3570,  FAX (818) 702-9578",www.nevhc.org/, , , ,http://egis3.lacounty.gov/lms/?p=981,www.nevhc.org/,211, ,publish, ,34.19943,-118.6004,2013-06-01 00:00:00,6380121.69666,1895500.36774,1,IN
-118.38271003658141,34.0753932815363,88.0,88.0,40222740.0,1118.0,Cedars-Sinai Medical Center - Ambulatory Care Center,The ambulatory care clinic provides primary outpatient health services for adults in Los Angeles.,Health and Mental Health,Health Centers, ,8723 Alden Dr., ,Los Angeles,CA,90048,"SITE HOURS: Monday through Friday, 8:00am to 4:30pm","Adult Primary Care Intake Service/Intake (310) 423-2811, Diabetes Specialty Clinic Service/Intake (310) 423-3870, Adult Dental Care Service/Intake (310) 423-6361,  FAX (310) 423-0420",www.csmc.edu, , , ,http://egis3.lacounty.gov/lms/?p=1118,www.csmc.edu,211, ,publish, ,34.0754,-118.38272,2013-06-01 00:00:00,6445772.15722,1850040.17979,1,IN
-118.24621102915945,33.94262079093484,89.0,89.0,40287357.0,72071.0,Watts Health Center, ,Health and Mental Health,Health Centers, ,10300 Compton Avenue, ,Los Angeles,CA,90002, ,(323) 357 6541, , , , ,http://egis3.lacounty.gov/lms/?p=72071,Watts Health Center, , ,publish, ,33.94263,-118.24622,2013-08-21 00:00:00,6486988.23456,1801592.28062,1,IN
-118.18877274989285,34.11136168968124,91.0,91.0,40281447.0,964.0,Arroyo Vista Family Health Foundation - Highland Park,"Primary Care
Dental Care<br />Language(s):  Armenian",Health and Mental Health,Health Centers, ,6000 N. Figueroa St., ,Los Angeles,CA,90042,"Monday - Friday: 8:00AM - 7:00PM
Saturday: 8:00AM - 4:30PM
DENTAL HOURS
Monday - Friday: 8:30AM - 5:00PM


","(323) 254-5221  
",http://www.arroyovista.org/, ,Language(s):  Armenian, ,http://egis3.lacounty.gov/lms/?p=964,Community Partners,LA County Department of Health Services, ,publish, ,34.11137,-118.18879,2011-10-13 00:00:00,6504524.65422,1862962.41149,1,IN
-118.44617601140446,34.18948723766298,93.0,93.0,40283762.0,70252.0,Independent Living Center Of Southern California - Darrell Mcdaniel Service Office,"The center provides administrative services, emergency services and services for people with disabilities in Los Angeles County.",Health and Mental Health,Health Centers, ,14354 Haynes St, ,Van Nuys,CA,91401,"Monday throug Friday, 8:00am to 4:30pm.","Service/Intake (818) 988-9525,  TDD (818) 988-3533",ilcsc.org/, , , ,http://egis3.lacounty.gov/lms/?p=70252, ,211, ,publish, ,34.18949,-118.44619,2010-11-01 00:00:00,6426737.31963,1891638.84659,1,IN
-118.17961891714766,34.06667970954853,95.0,95.0,40281450.0,965.0,Arroyo Vista Family Health Foundation - El Sereno,Primary Care<br />Language(s):  Chinese,Health and Mental Health,Health Centers, ,"4815 East Valley Blvd., Ste. C", ,Los Angeles,CA,90032,"Monday - Friday: 8:30AM - 5:00PM
Saturday: 8:30PM - 4:30PM


",(323) 222-1134,http://www.arroyovista.org/, ,Language(s):  Chinese, ,http://egis3.lacounty.gov/lms/?p=965,Community Partners,LA County Department of Health Services, ,publish, ,34.06668,-118.17963,2011-10-13 00:00:00,6507267.88134,1846695.94009,1,IN
-118.27091469947273,34.06595043743578,96.0,96.0,40281708.0,1211.0,Clinica Msr. Oscar A. Romero - Los Angeles,"Primary Care
Dental Care<br />Language(s): English, Interpreter Services Available, Spanish",Health and Mental Health,Health Centers, ,123 S. Alvarado St., ,Los Angeles,CA,90057,"Monday - Thursday: 7:00AM - 7:00PM
Friday: 7:00AM - 1:00PM
Saturday: 8:00AM - 12:00PM
DENTAL HOURS
Monday - Thursday: 7:30AM - 5:00PM
Friday: 7:00AM - 1:00PM

",(213) 989-7700 ext. 2862,www.clinicaromero.com, ,"Language(s): English, Interpreter Services Available, Spanish", ,http://egis3.lacounty.gov/lms/?p=1211,LA County,LA County Department of Health Services, ,publish, ,34.06596,-118.27093,2011-10-15 00:00:00,6479616.25489,1846493.85125,1,IN
-118.30853614357164,34.016650495096194,97.0,97.0,40287363.0,962.0,LA County Department Of Public Health - Dr. Ruth Temple Health Center,The agency provides health services for people of all ages in Los Angeles County.,Health and Mental Health,Health Centers, ,3834 S. Western Ave., ,Los Angeles,CA,90062,"Monday through Friday, 8:00am to 5:00pm","STD information and PH hours Information Only (323) 730-3576, Appointments Service/Intake (323) 730-1920, Public Health Clinic Service/Intake (323) 730-3507", , , , ,http://egis3.lacounty.gov/lms/?p=962,LA County Department of Public Health,211, ,publish, ,34.01666,-118.30855,2013-08-21 00:00:00,6468168.39458,1828586.40905,1,IN
