Long,Lat,YR_File,File_Date,Case_Num,Loc_Addr,City,State,Zip,Dec_Date,Decision,Rec_Loc,Fil_Loc,Descript,addrtype,addrlocat
-118.20540056580192,34.06013091877284,2001,2002-03-13,ZA-2001-2942-CU,2011 E ZONAL    AVE,Los Angeles,CA,90033,2001-12-14,APPROVED,RECORDS CENTER,PIPER TECH 714740     OR     714741  ??,"CONDITIONAL USE PERMIT TO CONSTRUCT, OPERATE AND MAINTAIN AN UNSTAFFED WIRELESS TELECOMMUNICATIONS FACILITY LOCATED AT THE USC HEALTH SCIENCE BUILDING.",street_address,ROOFTOP
-118.4480445071954,33.958768605729105,2003,2003-09-09,ZA-2003-6289-CU,200 E CULVER    BLVD,Los Angeles,CA,90293,2004-01-28,APPROVED,RECORDS CENTER,PIPER TECH 730861,INSTALLATION OF WIRELESS TELECOMMUNICATION FACILITIES IN C2-1 ZONE.,premise,ROOFTOP
-118.4480445071954,33.958768605729105,2007,2007-02-08,ZA-2007-694-CU,200 E CULVER    BLVD,Los Angeles,CA,90293,2007-07-26,APPROVED,RECORDS CENTER,PIPER TECH 784250,"PROPOSED  INSTALLATION OF A WIRELESS FACILITY CONSISTING OF 12 ANTENNAS, DIVIDED INTO 3 SECTORS, AND AN EQUIPMENT SHELTER BEHIND AN EXISTING OFFICE BUILDING.",premise,ROOFTOP
-118.16363788824323,34.08998334483313,2006,2006-12-26,ZA-2006-10511-CU-ZV,5389 E POPLAR    BLVD,Los Angeles,CA,90032,2008-08-13,APPROVED,RECORDS CENTER,PIPER TECH 773100,NEW WIRELESS TELECOMMUNICATIONS FACILITY WITH MONOPALM,premise,ROOFTOP
-118.18005909163692,34.065972762185474,2000,2002-09-17,ZA-2000-5023-CU,4800 E VALLEY    BLVD,Los Angeles,CA,90032,2001-05-02,APPROVED,RECORDS CENTER,PIPER TECH 649409,REQUEST FOR A GROUND MOUNTED WIRELESS FACILITY.,street_address,RANGE_INTERPOLATED
-118.18005909163692,34.065972762185474,2000,2009-06-26,ZA-2000-5023-CU-PA1,4800 E VALLEY    BLVD,Los Angeles,CA,90032,2009-09-30,APPROVED,RECORDS CENTER,PIPER TECH 649409,"CO-LOCATE A WIRELESS TELECOMMUNICATIONS FACILITY CONSISTING OF SIX PANEL ANTENNAS INSIDE AN EXISTING RF TRANSPARENT ""PALM NUT"""" ON AN EXISTING 43-FOOT TALL MONOPALM AND INSTALL RADIO EQUIPMENT CABINETS INSIDE AN EXISTING  STORAGE BUILDING.    THE EXISTIN",street_address,RANGE_INTERPOLATED
-118.17822652845729,34.067981965566744,2005,2005-04-08,ZA-2005-2207-CU,4889 E VALLEY    BLVD,Los Angeles,CA,90032,2005-09-21,APPROVED,RECORDS CENTER,PIPER TECH 763800,WIRELESS CELLULAR ANTENNA.,street_address,ROOFTOP
-118.17822652845729,34.067981965566744,2005,2007-09-12,ZA-2005-2207-CU-PA1,4889 E VALLEY    BLVD,Los Angeles,CA,90032,2008-05-15,TERMINATED,RECORDS CENTER,PIPER TECH 763800,"PLAN APPROVAL TO ALLOW THE CONSTRUCTION, USE AND MAINTENANCE OF A WIRELESS TELECOMMUNICATIONS FACILITY CONSISTING OF A MONOPALM WITH 6 PANEL ANTENNAS, ONE MICROWAVE AND ONE GPS ANTENNA, WITH SAID MONOPALM REACHING A MAXIMUM HEIGHT OF 66 FEET IN LIEU OF T",street_address,ROOFTOP
-118.17822652845729,34.067981965566744,2008,2008-03-06,ZA-2008-885-CU,4889 E VALLEY    BLVD,Los Angeles,CA,90032,2008-09-02,DENIED,RECORDS CENTER,PIPER TECH 794190,WIRELESS CELLULAR ATTENNA 59' TALL,street_address,ROOFTOP
-118.46039634235208,33.98962498376278,2007,2007-08-07,ZA-2007-3804-CDP-CU,658 E VENICE    BLVD,Los Angeles,CA,90291,2008-01-11,WITHDRAWN,RECORDS CENTER,PIPER TECH 788428,WIRELESS ROOFTOP FACILITY.,premise,ROOFTOP
-118.2100718052793,34.03147400956747,2003,2003-11-20,ZA-2003-8434-CU-ZV,2800 E WHITTIER    BLVD,Los Angeles,CA,90023,2004-03-26,APPROVED,RECORDS CENTER,PIPER TECH 730900,ZONE VARIANCE TO PERMIT WIRELESS TELECOMMUNITCATIONS (NEXTEL CELLULAR) ON A 60' POLE WITHIN A CORNER COMMERICIAL DEVELOPEMENT AND CONTIONAL USE PERMIT FOR SAME.,street_address,ROOFTOP
-118.20686481971501,34.12123823744454,2004,2004-10-22,ZA-2004-6579-CU,5000 E YORK    BLVD,Los Angeles,CA,90042,2005-02-15,APPROVED,RECORDS CENTER,PIPER TECH 755038,"INSTALLATION OF A WIRELESS TELECOMMUNICATIONS ON THE ROOF, ON THE FACADE AND WITHIN A RADOME CANISTER DISGUISED AS A FLAGPOLE,  OF AN EXISTING TWO-STORY COMMERCIAL BUILDING IN THE [Q]C4-1XL ZONE.    RELATED EQUIPMENT TO BE PLACED INSIDE A GARAGE ON THE G",street_address,ROOFTOP
-118.2031098618274,34.120568929528226,2004,2004-08-03,ZA-2004-4919-CU,5148 E YORK    BLVD,Los Angeles,CA,90042,2005-02-22,APPROVED,RECORDS CENTER,PIPER TECH 744344,"A CU TO ALLOW THE INSTALLATION, USE AND MAINTENANCE OF AN UNMANNED MONOPALM WIRELESS TELECOMMUNICATIONS FACILITY WITH THE EQUIPMENT TO BE SITUATED IN A PREFABRICATED SHELTER AND LOCATED AT THE REAR OF AN EXISTING COMMERCIAL BUILDING.",premise,ROOFTOP
-118.18186470535797,34.11430692551328,2002,2002-10-23,ZA-2002-2363-CU,6336 E YORK    BLVD,Los Angeles,CA,90042,2002-10-04,WITHDRAWN,RECORDS CENTER,PIPER TECH 722553,TO PERMIT A WIRELESS TELECOMMUNICATIONS FACILITY ON THE ROOF OF EXISTING COMMERCIAL BUILDING WITH ANTENNAS AND EQUIPMENT INSIDE AT 30 FEET HIGH.,premise,ROOFTOP
-118.18816189549965,34.084091077262116,2005,2005-06-15,ZA-2005-3928-CU,4525 E HUNTINGTON    DR,Los Angeles,CA,90032,2006-05-10,DENIED,RECORDS CENTER,PIPER TECH 764305,WIRELESS TELECOMMUNICATIONS FACILITY ON A 55-FOOT HIGHT MONOPALM.,street_address,RANGE_INTERPOLATED
-118.15547220231056,34.098084543150804,2000,2009-10-27,ZA-2000-4651-CU-PA1,5753 E HUNTINGTON    DR,Los Angeles,CA,90032,2010-02-19,APPROVED,RECORDS CENTER,PIPER TECH 648908,CO-LOCATION OF WIRELESS CELLULAR ANTENNA.,street_address,RANGE_INTERPOLATED
-118.17366308681399,34.0620360737415,2006,2006-12-29,ZA-2006-10594-CU,5151 E STATE UNIVERSITY   DR,Los Angeles,CA,90032,2007-06-25,APPROVED,RECORDS CENTER,PIPER TECH 773244,"UNMANNED WIRELESS TELECOMMUNICATIONS FACILITY, MONOPINE.",premise,ROOFTOP
-118.20130424810631,34.04357808294184,2005,2005-05-20,ZA-2005-3270-CU,2910 E CESAR  E  CHAVEZ,Los Angeles,CA,90033,2005-09-26,APPROVED,RECORDS CENTER,PIPER TECH 763822,INSTALLATION OF A WIRELESS TELECOMMUNICATIONS FACILITY ON THE ROOF OF AN EXISTING TWO-STORY COMMERCIAL BUILDING.,street_address,ROOFTOP
-118.20130424810631,34.04357808294184,2005,2006-04-20,ZA-2005-3270-CU-PA1,2910 E CESAR  E  CHAVEZ,Los Angeles,CA,90033,2006-06-02,APPROVED,RECORDS CENTER,PIPER TECH 763822,"CO-LOCATION OF A PROPOSED WIRELESS TELECOMMUNICATIONS FACILITY, CONSISTING OF: SIX PANEL ANTENNAS, ONE GPS ANTENNA AND FOUR EQUIPMENT CABINETS,ON THE ROOF OF AN EXISTING TWO-STORY COMMERCIAL AUTO REPAIR BUILDING, WITH AN EXISTING WIRELESS TELECOMMUNICATI",street_address,ROOFTOP
-118.23757821927909,33.942881624469486,2006,2006-04-12,ZA-2006-2865-CU,1956 E 103RD    ST,Los Angeles,CA,90002,2006-09-13,APPROVED,RECORDS CENTER,PIPER TECH 765676,WIRELESS CELLULAR ANTENNA.,street_address,ROOFTOP
-118.24080317114903,34.048527898185704,2001,2001-03-16,ENV-2001-1309-CU,332 E 2ND    ST,Los Angeles,CA, , , , , ,REQUEST FOR AN UNMANNED WIRELESS FACILITY TO PROVIDE CELLULAR PHONE COVERAGE.,street_address,ROOFTOP
-118.24080317114903,34.048527898185704,2001,2001-08-17,ZA-2001-1308-CU,332 E 2ND    ST,Los Angeles,CA, ,2001-07-30,APPROVED,RECORDS CENTER,PIPER TECH 711880,REQUEST FOR AN UNMANNED WIRELESS FACILITY TO PROVIDE CELLULAR PHONE COVERAGE.,street_address,ROOFTOP
-118.2543228161751,34.01198178046169,2007,2007-01-24,ZA-2007-349-CU,1192 E 35TH    ST,Los Angeles,CA,90011,2007-05-29,APPROVED,RECORDS CENTER,PIPER TECH 784239,WIRELESS TELECOMMUNICATION FACILITY.,street_address,RANGE_INTERPOLATED
-118.26874975963804,34.0161292797188,2005,2005-09-30,ZA-2005-6969-CU,335 E 35TH    ST,Los Angeles,CA,90011,2006-08-10,DENIED,RECORDS CENTER,PIPER TECH 764436,WIRELESS TELECOMMUNICATIONS FACILITY,street_address,ROOFTOP
-118.26462649248387,34.00918936432771,2004,2004-09-30,ZA-2004-6093-CU,633 E 41ST    ST,Los Angeles,CA,90011,2005-03-31,APPROVED,RECORDS CENTER,PIPER TECH 744386,"A CONDITIONAL USE TO ALLOW THE CONSTRUCTION, USE AND MAINTENANCE OF AN UNMANNED WIRELESS TELECOMMNICATIONS FACILITY WHICH CONSISTS OF A MAXIMUM OF 12 ANTENNAS MOUNTED ON A MONOPOLE AND TWO (2) GPS ANTENNAS MOUNTED ON A NEW 11'6"" X20 PREFAB EQUIPMENT SHEL",street_address,RANGE_INTERPOLATED
-118.21345845390043,34.04097280097374,2006,2006-03-28,ZA-2006-2268-CU,2228 E 4TH    ST,Los Angeles,CA,90033,2006-07-31,APPROVED,RECORDS CENTER,PIPER TECH 765663,INSTALLATION OF UNMANNED WIRELESS TELECOM FACILITY ON THE ROOF OF AN EXISTING YOUTH CENTER.,premise,ROOFTOP
-118.2029212156177,34.03665530037252,2006,2006-06-16,ZA-2006-5283-CU,3014 E 4TH    ST,Los Angeles,CA,90063,2006-12-21,DENIED,RECORDS CENTER,PIPER TECH 765717,WIRELESS CELLULAR ANTENNA MOUNTED ON ROOF.,street_address,RANGE_INTERPOLATED
-118.25329873675115,33.98988567318804,2002,2003-03-10,ZA-2002-3155-CU,1234 E 58TH    ST,Los Angeles,CA,90011,2002-12-16,APPROVED,RECORDS CENTER,PIPER TECH 725582,"REQUEST FOR THE LOCATION OF AN UNMANNED WIRELESS TELECOMMUNICATIONS FACILITY CONSISTING OF 3 SETS OF ANTENNAS (5 ANTENNAS EACH SECTOR) TO BE LOCATED ON A MONO-PALM FACILITY WITH APPURTENANT EQUIPMENT LOCATED IN A 11'6"" X 20' SHELTER WITH MAXIMUM HEIGHT O",premise,ROOFTOP
-118.26883060801359,33.96438646231138,2006,2006-11-08,ZA-2006-9460-CU,316 E 82ND    ST,Los Angeles,CA,90003,2007-03-06,APPROVED,RECORDS CENTER,PIPER TECH 773063,"PROPOSED INSTALLATION OF A NEW WIRELESS TELECOMMUNICATIONS FACILITY, WITH 12 ANTENNAS FULLY ENCLOSED AND SCREENED, ON THE ROOFTOP OF AN EXISTING CHURCH.",street_address,ROOFTOP
-118.07483942240795,34.10932376445738,2004,2004-02-26,ZA-2004-1163-CU,382 E ELRENO    ST,Los Angeles,CA,90031,2004-07-26,WITHDRAWN,RECORDS CENTER,PIPER TECH 740146,29' TALL WIRELESS TELECOMMUNICATIONS,route,GEOMETRIC_CENTER
-118.19727979563343,34.12065073411333,2007,2007-03-09,ZA-2007-1188-CU,5527 E MERIDIAN    ST,Los Angeles,CA,90042,2007-07-03,APPROVED,RECORDS CENTER,PIPER TECH 784273,INSTALLATION OF A ROOF-MOUNTED WIRELESS TELECOMMUNICATIONS FACILITY CONSISTING OF SIX (6)  ROOFTOP ANTENNAS AND FOUR (4) CABINETS,street_address,RANGE_INTERPOLATED
-118.19727979563343,34.12065073411333,2007,2009-10-27,ZA-2007-1188-CU-PA1,5527 E MERIDIAN    ST,Los Angeles,CA,90042,2010-05-18,APPROVED,RECORDS CENTER,PIPER TECH 784273,CO LOCATION OF WIRELESS CELLULAR ANTENNA.,street_address,RANGE_INTERPOLATED
-118.21287454896579,34.044314991034994,2002,2002-11-25,ZA-2002-2620-CU,2130 E 1ST    ST,Los Angeles,CA,90033,2002-11-06,APPROVED,RECORDS CENTER,PIPER TECH 725569,"BUILDING-MOUNTED WIRELESS TELECOMMUNICATION FACILITY CONSISTING OF 3 SETS OF TWO ANTENNAS, TWO SETS TO BE HOUSED BEHIND TO MATCH EXISTING SCREENING ON THE ROOFTOP TO THE FRONT OF THE BUILDING.",street_address,ROOFTOP
-118.22157024091608,34.04269229605236,2006,2006-09-11,ZA-2006-7923-CU,1700 E 4TH    ST,Los Angeles,CA, ,2007-02-27,APPROVED,RECORDS CENTER,PIPER TECH 772933,WIRELESS CELLULAR MONOPALM.,premise,ROOFTOP
-118.55447690205791,34.29514519052202,2007,2007-07-25,ZA-2007-3571-CU,12211 N HIGH VIEW   AL,Los Angeles,CA,91326,2007-12-19,APPROVED,RECORDS CENTER,PIPER TECH 788420,CONSTRUCTION/INSTALLATION OF A NEW WIRELESS TELECOM FACILTY,street_address,ROOFTOP
-118.2979809389833,34.076583793937026,2002,2002-09-06,ZA-2002-2284-CU-ZV,302 N ALEXANDRIA    AVE,Los Angeles,CA,90004,2002-07-30,APPROVED,RECORDS CENTER,PIPER TECH 722551,REQUEST FOR A ROOFTOP UNSTAFFED WIRELESS TELECOMMUNICATIONS FACILITY.,street_address,ROOFTOP
-118.26290172713837,34.102778271117785,2002,2002-12-03,ZA-2002-6940-CU,2543 N ARMSTRONG    AVE,Los Angeles,CA,90039,2003-03-05,DENIED,RECORDS CENTER,PIPER TECH 726203,75' HIGH MONOPINE WIRELESS TELECOMMUNICATIONS TOWER.,street_address,ROOFTOP
-118.29231256954047,34.08414315718064,2005,2005-06-24,ZA-2005-4144-CU,741 N VERMONT    AVE,Los Angeles,CA,91342,2005-11-09,APPROVED,RECORDS CENTER,PIPER TECH 764310,WIRELESS TELECOMMUNICATIONS FACILITY,premise,ROOFTOP
-118.59619466385242,34.15701618547627,2007,2007-09-06,ZA-2007-4310-CU,4868 N CANOGA    AVE,Los Angeles,CA,91364,2008-04-21,APPROVED WITH CONDITIONS,RECORDS CENTER,PIPER TECH 788450,CONDITIONAL USE PERMIT FOR WIRELESS TELECOM FACILITY (ROOFTOP ANTENNA),street_address,RANGE_INTERPOLATED
-118.59692229923253,34.17757495637468,2005,2005-10-26,ZA-2005-7684-CU,5900 N CANOGA    AVE,Los Angeles,CA,91367,2006-06-02,APPROVED,RECORDS CENTER,PIPER TECH 764856,ROOF MOUNTED WIRELESS ANTENNA.,premise,ROOFTOP
-118.59783858082237,34.228578608303295,2003,2003-02-26,ZA-2003-1362-CU,8707 N CANOGA    AVE,Los Angeles,CA,91304,2003-08-15,APPROVED,RECORDS CENTER,PIPER TECH 728957,CONSTRUCTION AND OPERATION OF AN UNMANNED WIRELESS COMMUNITCATIONS FACILITY ON DWP PROPERTY.,premise,ROOFTOP
-118.43629454327916,34.24114461443585,2004,2004-08-20,ZA-2004-5307-CU,9400 N CANTERBURY    AVE,Los Angeles,CA,91331,2004-10-27,APPROVED,RECORDS CENTER,PIPER TECH 744359,WIRELESS TELECOMMUNICATIONS FACILITY MOUNTED ON EXISTING POWER LINE POLE,premise,ROOFTOP
-118.43629454327916,34.24114461443585,2006,2006-07-21,ZA-2006-6394-CU,9400 N CANTERBURY    AVE,Los Angeles,CA,91331,2006-12-11,APPROVED,RECORDS CENTER,PIPER TECH 772892,UNMANNED WIRELESS TELECOMMUNICATIONS FACILITY/49-FOOT UNIPOLE CONSISTING OF THREE ANTENNAS.,premise,ROOFTOP
-118.36398016290751,34.16436024029487,2002,2010-07-14,ZA-2002-2769-CU-PA2,5161 N CARTWRIGHT    AVE,Los Angeles,CA,91601,2011-04-20,WITHDRAWN,RECORDS CENTER,PIPER TECH 725574,"ADDITION OF 2 PANEL ANTENNAS, 2 RADIO UNITS PER SECTOR, 1 PARABOLIC ANTENNA PER SECTOR (3 SECTORS TOTAL), 2 OUTDOOR EQUIPMENT CABINETS WITH 1 GPS ANTENNA ALL MOUNTED ON THE ROOF OF AN EXISTING RECORDING STUDIO BUILDING ON WHICH AN EXISTING WIRELESS TELEC",premise,ROOFTOP
-118.3645640678422,34.21911573254084,2000,2000-11-28,ENV-2000-5046-CU,11337 N CLYBOURN    AVE,Los Angeles,CA,91342, , , , ,TO CONSTRUCT AND OPERATE A WIRELESS FACILITY COMPROMISING A 60-FOOT MONOPINE AND A 20' X 15' CONCRETE PAD TO SET EQUIPMENT CABINETS ON.,street_address,RANGE_INTERPOLATED
-118.3645640678422,34.21911573254084,2000,2001-10-04,ZA-2000-5045-CU,11337 N CLYBOURN    AVE,Los Angeles,CA,91342,2001-05-25,DENIED,RECORDS CENTER,PIPER TECH 649409,TO CONSTRUCT AND OPERATE A WIRELESS FACILITY COMPROMISING A 60-FOOT MONOPINE AND A 20' X 15' CONCRETE PAD TO SET EQUIPMENT CABINETS ON.,street_address,RANGE_INTERPOLATED
-118.41350428452107,34.15060819887851,2005,2005-08-30,ZA-2005-6016-CU,4400 N COLDWATER CANYON   AVE,Los Angeles,CA,91604,2006-01-13,APPROVED,RECORDS CENTER,PIPER TECH 764415,ROOF MOUNTED WIRELESS TELECOMMUNICATIONS FACILITY.,premise,ROOFTOP
-118.23084085464818,34.096678605660614,2002,2003-02-05,ZA-2002-5177-CU,1324 N CYPRESS    AVE,Los Angeles,CA,90065,2003-01-17,WITHDRAWN,RECORDS CENTER,PIPER TECH 725635,CONDITIONAL USE FOR AN UNSTAFFED WIRELESS TELECOMMUNICATIONS FACILITY.,premise,ROOFTOP
-118.58859491654877,34.270465424588515,2007,2007-01-18,ZA-2007-238-CU,11050 N DE SOTO   AVE,Los Angeles,CA, ,2007-06-07,APPROVED,RECORDS CENTER,PIPER TECH 784236,INSTALLATION OF NEW MONOPINE WITH 6 ANTENNAS AND EQUIPMENT FACILITY FOR WIRELESS TELECOMMUNICATIONS,street_address,RANGE_INTERPOLATED
-118.5887476301471,34.272662774288655,2003,2008-08-28,ZA-2003-29-CU-PA1,11056 N DE SOTO   AVE,Los Angeles,CA,91311,2009-04-24,APPROVED,RECORDS CENTER,Piper Tech 728932,"TO ALLOW CO-LOCATION OF WIRELESS TELECOMMUNICATIONS FACILITY, CONSISTING OF 12 ANTENNAS ON EXISTING MONOPINE AND EQUIPMENT CABINET ON GROUND WITHIN EXISTING LEASE AREA",premise,ROOFTOP
-118.58797507900275,34.194175890096155,2006,2006-08-01,ZA-2006-6760-CU,6800 N DE SOTO   AVE,Los Angeles,CA,91303,2007-01-16,APPROVED,RECORDS CENTER,PIPER TECH 772903,CONDITIONAL USE PERMIT TO INSTALL A WIRELESS TELECOMMUNICATIONS FACILITY (WTF) MONOPALM,premise,ROOFTOP
-118.58880152906411,34.22762791215313,2005,2005-08-11,ZA-2005-5503-CU,8609 N DE SOTO   AVE,Los Angeles,CA,91304,2005-11-30,APPROVED,RECORDS CENTER,PIPER TECH 764405,INSTALLATION OF A WIRELESS TELECOMMNUNICATION FACILITY,street_address,ROOFTOP
-118.51564273232539,34.278541887042394,2006,2006-06-30,ZA-2006-5747-CU,11439 N ENCINO    AVE,Los Angeles,CA,91344,2006-11-17,DENIED,RECORDS CENTER,PIPER TECH 772877,"PROPOSED NEW WIRELESS MONOPALM WITH HEIGHT OF 50 FEET, AND SIX NEW EQUIPMENT CABINETS IN AN RA-1 ZONE.",premise,ROOFTOP
-118.53110273836512,34.17054421202434,2001,2002-06-06,ZA-2001-5457-CU-SPPA-ZV,5525 N ETIWANDA    AVE,Los Angeles,CA,91356,2002-05-20,APPROVED,RECORDS CENTER,PIPER TECH 714832,REQUEST TO INSTALL A WIRELESS TELECOMMUNICATIONS FACILITY.,premise,ROOFTOP
-118.197872683721,34.040496397901556,2006,2006-05-23,ZA-2006-4458-CU,204 N EVERGREEN    AVE,Los Angeles,CA, ,2007-01-24,WITHDRAWN,AUTOMATED RECORDS,"RM 575, CH","INSTALLATION OF A WIRELESS TELECOMMUNICATIONS FACILITY CONSISTING OF A 65-FOOT MONOPINE, 12 ANTENNAS AND ASSOCIATED EQUIPMENT SHELTER",street_address,ROOFTOP
-118.36139301488927,34.08831688650227,1992,2003-02-11,CPC-1992-92-CU-PA1,7909 N FAIRFAX    AVE,Los Angeles,CA,90046, , ,REQUEST BY: DAVID ABBOTT,"RM 825, CH 629694","TO ALLOW WIRELESS TELECOMMUNICATION FACILITIES BY SPRINT PCS, HAVING A MAXIMUM HEIGHT OF 52 FEET IN LIEU OF THE REQUIRED 45 FEET.",route,GEOMETRIC_CENTER
-118.62295547616634,34.17987877265673,2004,2004-06-29,ZA-2004-4072-CU,6024 N FALLBROOK    AVE,Los Angeles,CA,91367,2004-09-22,APPROVED,RECORDS CENTER,PIPER TECH 743426,INSTALLATION OF ROOF-MOUNTED WIRELESS CELLULLAR ATTENNA .,premise,ROOFTOP
-118.62568635463008,34.22265886468543,2001,2003-03-07,ZA-2001-2985-CU,8401 N FALLBROOK    AVE,Los Angeles,CA,91304,2002-10-18,APPROVED,RECORDS CENTER,PIPER TECH 714742,REQUEST FOR A ROOF MOUNT WIRELESS TELECOMMUNICATIONS FACILITY WITH ANTENNAS AND NECESSARY EQUIPMENT SHELTER.,street_address,ROOFTOP
-118.62568635463008,34.22265886468543,2002,2002-11-22,ZA-2002-2892-CU,8401 N FALLBROOK    AVE,Los Angeles,CA,91304,2002-11-06,APPROVED,RECORDS CENTER,PIPER TECH 725577,CONDITIONAL USE PERMIT FOR A WIRELESS TELECOMMUNICATIONS FACILITY WITH ROOFTOP ANTENNAS AND EQUIPMENT FOR AT&T WIRELESS.,street_address,ROOFTOP
-118.62568635463008,34.22265886468543,2002,2005-02-28,ZA-2002-2892-CU-PA1,8401 N FALLBROOK    AVE,Los Angeles,CA,91304,2005-10-14,TERMINATED,RECORDS CENTER,PIPER TECH 725577,TO RELOCATE THE APPROVED ROOFTOP CONDITIONAL USE PERMIT WIRELESS TELECOMMUNICATIONS FACILITY TO AN ADJACENT BUILDING WITH IDENTICAL HEIGHTS.,street_address,ROOFTOP
-118.62624331010625,34.22505058032798,2006,2006-03-23,ZA-2006-2194-CU,8501 N FALLBROOK    AVE,Los Angeles,CA,91304,2006-08-30,APPROVED,RECORDS CENTER,PIPER TECH 765661,INSTALL A WIRELESS TELECOMMUNICAITON FACILITY WITH SIX ANTENNA PANELS LOCATED IN THE ROOFTOP OF A 3-STORY COMMERCIAL BUILDING.,street_address,ROOFTOP
-118.6279051933818,34.22464948989756,2007,2007-10-02,ZA-2007-4743-CU-ZV,8511 N FALLBROOK    AVE,Los Angeles,CA,91304,2008-05-16,APPROVED,RECORDS CENTER,PIPER TECH 789735,INSTALLATIION OF A WIRELESS TELECOMMUNICATIONS FACILITY CONSISTING OF 12 PANEL ANTENNAS IN THREE SECTORS AND UP TO SIX EQUIPMENT CABINETS ON THE ROOF OF AN EXISTING 4-STORY OFFICE BUILDING.,street_address,ROOFTOP
-118.43237788864039,34.319090621870934,2007,2007-09-28,ZA-2007-4673-CU,13600 N FENTON    AVE,Los Angeles,CA,91342,2008-02-27,APPROVED,RECORDS CENTER,PIPER TECH 788464,NEW 60' TALL WIRELESS MONOPALM AND 6 EQUIPMENT CABINETS ON PROPERTY USED FOR WATER STORAGE IN THE PF-1VL-K ZONE.,street_address,ROOFTOP
